surface,file,line,path_expression,notes
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/config/infrastructure/http/ConfigBackOfficeRoutes.scala,31,"    adminEndpoint.post.in(basePath / ""upload-terms"").in(jsonBody[TermsRequest]).out(statusCode(StatusCode.Ok))","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/geocomply/infrastructure/http/GeoComplyTapirEndpoints.scala,19,"      .in(""geo-comply"" / ""license-key"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/geocomply/infrastructure/http/GeoComplyTapirEndpoints.scala,27,"      .in(""geo-comply"" / ""geo-packet"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterBackofficeRoutes.scala,172,"      .in(basePath / ""punters"" / punterId / ""limits-history"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterBackofficeRoutes.scala,179,"      .in(basePath / ""punters"" / punterId / ""cool-offs-history"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterBackofficeRoutes.scala,186,"      .in(basePath / ""punters"" / punterId / ""session-history"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterBackofficeRoutes.scala,193,"      .in(basePath / ""punters"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterBackofficeRoutes.scala,199,"      .in(basePath / ""punters"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterBackofficeRoutes.scala,206,"    adminEndpoint.get.in(basePath / ""punters"" / punterId).out(jsonBody[UserProfile]).out(statusCode(StatusCode.Ok))","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterBackofficeRoutes.scala,210,"      .in(basePath / ""punters"" / punterId / ""detail"" / ""dob"")","path-related .in(...) route expression"
