surface,file,line,path_expression,notes
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,252,"      .in(jsonBody[SelfExcludeRequest])","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,260,"      .in(""punters"" / ""deposit-limits"")","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,261,"      .in(jsonBody[Limits[DepositLimitAmount]])","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,270,"      .in(""punters"" / ""session-limits"")","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,271,"      .in(jsonBody[Limits[SessionDuration]])","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,280,"      .in(""punters"" / ""stake-limits"")","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,281,"      .in(jsonBody[Limits[StakeLimitAmount]])","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,290,"      .in(""punters"" / ""limits-history"")","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,291,"      .in(EndpointInputs.pagination.queryParams)","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,300,"      .in(""punters"" / ""cool-offs-history"")","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,301,"      .in(EndpointInputs.pagination.queryParams)","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,307,"      .in(""punters"" / ""current-session"")","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,313,"      .in(""registration"" / ""sign-up"")","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,314,"      .in(jsonBody[SignUpRequest])","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,315,"      .in(optionalIpAddress)","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,323,"      .in(""registration"" / ""answer-kba-questions"")","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,324,"      .in(jsonBody[AnswerKBAQuestionsRequest])","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,334,"      .in(""registration"" / ""start-idpv"")","extracted from .in(...) definition"
